,country_id,country_value,indicator_name,year,value,region,incomeLevel,lendingType,longitude,latitude
7124,VE,"Venezuela, RB",People using at least basic drinking water services (% of population),2019,93.8628955693026,Latin America & Caribbean ,Not classified,IBRD,-69.8371,9.08165
7125,VE,"Venezuela, RB",People using at least basic drinking water services (% of population),2018,94.0399904292601,Latin America & Caribbean ,Not classified,IBRD,-69.8371,9.08165
7126,VE,"Venezuela, RB",People using at least basic drinking water services (% of population),2017,94.2170852892175,Latin America & Caribbean ,Not classified,IBRD,-69.8371,9.08165
7127,VE,"Venezuela, RB",People using at least basic drinking water services (% of population),2016,94.3941801491749,Latin America & Caribbean ,Not classified,IBRD,-69.8371,9.08165
7128,VN,Viet Nam,People using at least basic drinking water services (% of population),2024,,East Asia & Pacific,Lower middle income,IBRD,105.825,21.0069
7129,VN,Viet Nam,People using at least basic drinking water services (% of population),2023,,East Asia & Pacific,Lower middle income,IBRD,105.825,21.0069
7130,VN,Viet Nam,People using at least basic drinking water services (% of population),2022,97.9568165843155,East Asia & Pacific,Lower middle income,IBRD,105.825,21.0069
7131,VN,Viet Nam,People using at least basic drinking water services (% of population),2021,97.3175133830786,East Asia & Pacific,Lower middle income,IBRD,105.825,21.0069
7132,VN,Viet Nam,People using at least basic drinking water services (% of population),2020,96.6670224746456,East Asia & Pacific,Lower middle income,IBRD,105.825,21.0069
7133,VN,Viet Nam,People using at least basic drinking water services (% of population),2019,95.9890536474813,East Asia & Pacific,Lower middle income,IBRD,105.825,21.0069
7134,VN,Viet Nam,People using at least basic drinking water services (% of population),2018,95.1687848677321,East Asia & Pacific,Lower middle income,IBRD,105.825,21.0069
7135,VN,Viet Nam,People using at least basic drinking water services (% of population),2017,94.1294081468165,East Asia & Pacific,Lower middle income,IBRD,105.825,21.0069
7136,VN,Viet Nam,People using at least basic drinking water services (% of population),2016,93.4040810523936,East Asia & Pacific,Lower middle income,IBRD,105.825,21.0069
7137,VI,Virgin Islands (U.S.),People using at least basic drinking water services (% of population),2024,,Latin America & Caribbean ,High income,Not classified,-64.8963,18.3358
7138,VI,Virgin Islands (U.S.),People using at least basic drinking water services (% of population),2023,,Latin America & Caribbean ,High income,Not classified,-64.8963,18.3358
7139,VI,Virgin Islands (U.S.),People using at least basic drinking water services (% of population),2022,,Latin America & Caribbean ,High income,Not classified,-64.8963,18.3358
7140,VI,Virgin Islands (U.S.),People using at least basic drinking water services (% of population),2021,,Latin America & Caribbean ,High income,Not classified,-64.8963,18.3358
7141,VI,Virgin Islands (U.S.),People using at least basic drinking water services (% of population),2020,98.7182673758686,Latin America & Caribbean ,High income,Not classified,-64.8963,18.3358
7142,VI,Virgin Islands (U.S.),People using at least basic drinking water services (% of population),2019,98.7182673758686,Latin America & Caribbean ,High income,Not classified,-64.8963,18.3358
7143,VI,Virgin Islands (U.S.),People using at least basic drinking water services (% of population),2018,98.7182673758686,Latin America & Caribbean ,High income,Not classified,-64.8963,18.3358
7144,VI,Virgin Islands (U.S.),People using at least basic drinking water services (% of population),2017,98.7182673758686,Latin America & Caribbean ,High income,Not classified,-64.8963,18.3358
7145,VI,Virgin Islands (U.S.),People using at least basic drinking water services (% of population),2016,98.7182673758686,Latin America & Caribbean ,High income,Not classified,-64.8963,18.3358
7146,PS,West Bank and Gaza,People using at least basic drinking water services (% of population),2024,,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,Not classified,,
